web-scraper-order,web-scraper-start-url,Summary,,,,,,,
1667026591-2,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,An internal error occurred during: "Decoration Calculation"  with Eclipse DLTK,,,,,,,使用Eclipse DLTK进行“装饰计算”时发生内部错误
1667026591-3,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,XXE Vulnerability found in Eclipse,,,,,,,在Eclipse中发现XXE漏洞
1667026591-4,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.modisco.java.discoverer.ui has bad Require-Bundle header,,,,,,,ui的Require-Bundle头文件不正确
1667026591-5,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Can parts of org.eclipse.emf.ecp.edit.swt be deprecated?,,,,,,,org.eclipse.emf.ecp.edit.swt的部分内容可以被弃用吗?
1667026591-6,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.modisco.java.discoverer.benchmark.tests.JavaDiscovererBenchmarkTest.test001,,,,,,,[单元测试失败]org.eclipse.modisco.java.discoverer.benchmark.tests.JavaDiscovererBenchmarkTest.test001
1667026591-7,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.modisco.java.generation.tests.TestGlobal001.test001,,,,,,,
1667026591-8,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"[Unit Test Faillure] org.eclipse.emf.facet.util.swt.internal.exported.SWTTestUtils.findRootTreeItem(String, Tree)",,,,,,,
1667026591-9,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.emf.facet.aggregate.tests.internal.CustomizationsCatalogViewTests.testCustomizationsView,,,,,,,
1667026591-10,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.emf.facet.efacet.sdk.tests.internal.EFacetTests,,,,,,,
1667026591-11,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.emf.facet.util.emf.ui.tests.internal.EPackageRegistryTest,,,,,,,
1667026591-12,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Disabling of 'org.eclipse.modisco.jee.jsp.discoverer' to deliver to Luna M1,,,,,,,禁用'org.eclipse.modisco。jee’将交付给Luna M1
1667026591-13,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,problems occurred when invoking code from plug-in: "org.eclipse.core.resources".,,,,,,,从插件:"org.eclipse.core.resources"调用代码时出现问题。
